ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
1599,苟利国家生死以,white,Top,"12/29/2016, 6:48:52 PM",9,0
7341,吴一楠的银魅：gzy,white,Top,"12/29/2016, 7:57:05 PM",9,0
2451,我喜欢1914ty,white,Bottom,"12/29/2016, 7:06:03 PM",5,0
4543,ttt我儿砸,red,Bottom,"12/29/2016, 7:23:52 PM",8,0
2467,校草陆言,red,Top,"12/29/2016, 7:06:11 PM",6,0
11822,表白台长,green,Bottom,"12/29/2016, 9:07:22 PM",6,0
5728,表白双双w,white,Top,"12/29/2016, 7:44:59 PM",7,0
4333,刁隽宇，年十八，未婚……,white,Top,"12/29/2016, 7:22:35 PM",7,0
4058,徐旭阳，高考第二,white,Bottom,"12/29/2016, 7:20:30 PM",8,0
7361,表白Ryan,white,Top,"12/29/2016, 7:57:13 PM",9,0
1497,表白石昆，身体赶紧好起来哦,white,Bottom,"12/29/2016, 6:48:07 PM",10,0
9971,表白王巳震,white,Bottom,"12/29/2016, 8:20:52 PM",7,0
5221,乾文慧在一起在一起 ,white,Top,"12/29/2016, 7:40:54 PM",8,0
9011,弹幕护体！！！！！！！！！！！,white,Top,"12/29/2016, 8:12:21 PM",7,1
618,垇垇可爱,red,Top,"12/29/2016, 6:23:42 PM",10,0
9126,表白1912，男寝室309,white,Bottom,"12/29/2016, 8:13:25 PM",7,1
9287,刘天骐校队最菜中场,green,Top,"12/29/2016, 8:14:54 PM",8,0
10611,超哥个人问题解决了吗,blue,Bottom,"12/29/2016, 8:39:59 PM",7,0
6423,我最喜欢安妮日记。。。。,white,Top,"12/29/2016, 7:49:34 PM",8,0
6461,张江1605的除了我还有吗！,green,Top,"12/29/2016, 7:49:57 PM",8,0
8041,我是邱老师，我喜欢杜贝妮,white,Top,"12/29/2016, 8:01:52 PM",8,1
9488,周子琨豆腐女神！,white,Top,"12/29/2016, 8:16:34 PM",8,0
9483,顶立也爱胡潘航,red,Top,"12/29/2016, 8:16:30 PM",8,0
7483,表白范小灰灰灰灰！！！,white,Bottom,"12/29/2016, 7:58:03 PM",9,0
1699,祝奶骑好帅,white,Top,"12/29/2016, 6:49:34 PM",8,0
6442,再次表白嘉华二,white,Top,"12/29/2016, 7:49:46 PM",8,0
11532,1958-2016,white,Top,"12/29/2016, 8:56:16 PM",6,0
9988,表白徐沁馨！,blue,Top,"12/29/2016, 8:21:06 PM",7,0
5364,曹巨远:我不喜欢无敌,green,Bottom,"12/29/2016, 7:42:08 PM",8,0
